Prefix,Class Number,Class Name,Credits
CHM,132,Intro to Organic/Biochemistry,4
CHM,165,General Chemistry I,4
CHM,175,General/ Inorg Chemistry II,4
CHM,263,Organic Chemistry I,5
CHM,273,Organic Chemistry II,5
CHM,922,Field Studies,1
PEC,110,"Coaching Ethics, Tech & Theory",1
PEC,115,Athletic Dev and Human Growth,1
PEC,122,Intro Anat & Phys for Coaching,1
PEC,170,Sports Officiating: Basketball,1
PEC,173,Officiating:Softball/Baseball,1
PEC,177,Sports Officiating: Football,1
PEC,190,Sports Psychology for Coaches,1
PEC,191,Current Issues in Coaching,1
PEC,215,Sport Mechanics for Coaches,1
CRR,101,Sheet Metal Welding,2
CRR,150,Basic Shop Safety,1
CRR,202,Plastic Repair,3
CRR,325,Sheet Metal Fundamentals,5
CRR,502,Frame Damage Analysis,2
CRR,655,Advanced Collision Repair,5
CRR,742,Estimating Theory,2
CRR,760,Advanced Estimating,2
CRR,841,Principles of Refinishing,5
CRR,876,Refinishing Production,6
CRR,877,Refinishing Applications,7
CAD,119,Intro Computer-Aided Drafting,3
CAD,125,Intermediate CADD-Mechanical,3
CAD,126,Intermed CADD-Architectural,3
CAD,139,Intro to CAD/CAM,3
CAD,148,Intro to Finite Element Analys,3
CAD,149,Basic Modeling SolidWorks,3
CAD,151,CAD Graphics I,6
CAD,152,CAD Graphics II,6
CAD,153,CAD Applications I,3
CAD,154,CAD Applications II,3
CAD,182,SolidWorks CAD I,3
CAD,183,Engineer Disciplines & Pract,3
CAD,184,SolidWorks for Die Design,3
CAD,215,Mechanical Systems,3
CAD,240,Applied Materials & Processes,3
CAD,242,Manufacturing Interfaces,3
CAD,246,Parametric CAD I,3
CAD,248,Parametric CAD II,3
CAD,252,Design Project I,4
CAD,254,Design Project II,5
CIS,125,Intro to Programming Logic w/,3
CIS,152,Data Structures,3
CIS,154,Computational Structures,3
CIS,161,C++,3
CIS,164,Advanced C++,3
CIS,169,C#,3
CIS,171,Java,3
CIS,174,Advanced C# Programming,3
CIS,175,Java II,3
CIS,178,Java Programming I,2
CIS,179,Java Programming II,2
CIS,189,Python,3
CIS,204,Intro to Website Development,3
CIS,215,Server-Side Web Programming,3
CIS,240,E-Commerce Website II,3
CIS,247,Intro to XML,3
CIS,289,Python II,3
CIS,303,Introduction to Database,3
CIS,332,Database and SQL,3
CIS,338,SQL/Oracle,3
CIS,402,COBOL,3
CIS,413,COBOL II,4
CIS,450,PLTW Computer Science Principles,3
CIS,451,PLTW-Computer Science Applications,3
CIS,505,Structured Systems Analysis,4
CIS,588,Computer Organization,3
CIS,604,Visual Basic,3
CIS,720,Help Desk Operations,3
CIS,932,CIS Internship,3
COM,146,"Gender, Sexuality and Media",3
COM,148,Diversity and the Media,3
COM,703,Communication Skills,3
NET,120,Computer Hardware Basics OL,3
NET,123,Computer Hardware Basics,4
NET,126,Networking Tech-Mainframe,2
NET,139,Microsoft Desktop Operate Sys,4
NET,144,Digital & Computer Electronics,3
NET,145,Digital & Computer Elect. Lab,3
NET,147,Networking Technologies,2
NET,163,Installing & Configuring Windows Server,3
NET,166,Applied Computer Security,3
NET,168,Administering Windows Server,3
NET,173,Configuring Advanced Windows Server Services,4
NET,179,Digital Forensic Analysis I,3
NET,180,Digital Forensic Analysis II,3
NET,182,IT and Security Fundamentals,3
NET,183,E-Discovery - Concepts,3
NET,185,E-Discovery I - Data Collect,3
NET,186,E-Discovery II - File Culling,3
NET,187,E-Discovery III - Data Prod,3
NET,193,Server Administration,3
NET,201,Web Concepts for Network Administrators,3
NET,202,Programming for Network Administrators,3
NET,207,Applied Computer Security Lab,2
NET,208,Cyber Ethics and Legal Issues,3
NET,210,Cybersecurity Analyst,3
NET,213,Cisco Networking,4
NET,225,Routing & Switching Essential,4
NET,226,Scaling Networks,4
NET,227,Connecting Networks,4
NET,228,Cisco Networking II,4
NET,229,Cisco Networking III,4
NET,315,Cloud Systems Administration,3
NET,350,Cisco Security,4
NET,373,Forensic Prac Cybersecurity,4
NET,377,Ethical Hacking Prac Cybersec,4
NET,402,Linux Network Administration,3
NET,412,Linux System Administration,3
NET,432,Linux System Security,3
NET,434,Linux Systems & Certification,3
NET,435,Linux Programming for Admin,3
NET,436,Linux Network Programming,3
NET,484,Netplus Certification,4
NET,488,Netware 4.x Administration,2
NET,515,Linux Enterprise,3
NET,532,Linux Enterprise Admin. II,3
NET,653,Microsoft Exchange Server,4
NET,708,Database Concepts for Cyber,4
NET,711,SQL Database,3
NET,715,Database Security & Auditing,3
NET,932,Internship,3
CIS,940,Software Project Application,1
CIS,943,Computer Science Project App.,3
CSC,105,Computer Essentials,1
CSC,109,Experience Information Technology,3
CSC,116,Information Computing,3
CON,205,Introduction to Construction Technology,5
CON,333,Materials/Construction Theory,5
CON,334,Construction Techniques,7
CON,336,Care/Use of Hand/Power Tools,1
CON,337,Construction Blueprint Reading,1
CON,338,Materials Takeoff,1
CON,341,Construction Drafting & Desig,2
CON,342,Interior Trim Practices,3
CON,347,Concrete Systems and Forming,3
CON,480,Const Procedure/Application I,5
CON,481,Constr Proc & Applications II,5
CON,482,Const Proc & Applications III,5
CON,615,Technical Internship I,5
CON,616,Technical Internship II,5
CON,617,Technical Internship III,5
CON,949,Spcl Topic:Green Bldg Concepts,1
CRJ,100,Intro to Criminal Justice,3
CRJ,101,Ethics in Criminal Justice,3
CRJ,107,Survey Crim Justice Agencies,3
CRJ,109,Theories of Interviewing,3
CRJ,111,Police and Society,3
CRJ,120,Introduction to Corrections,3
